Title,Discretionary-Mandatory,Spend-Category,Agency,Bureau,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Payment to the Asia Foundation,Discretionary,Nondefense,Department of State                                             ,Other,17,17,18,18,18,19,19,20,20,20,21
Japan-United States Friendship Trust Fund                       ,Mandatory,Other Spending,Japan-United States Friendship Commission                       ,Japan-United States Friendship Commission                       ,2,2,2,2,2,2,2,2,2,2,2
Broadcasting Capital Improvements                               ,Discretionary,Nondefense,Broadcasting Board of Governors                                 ,Broadcasting Board of Governors                                 ,10,10,10,11,11,11,11,11,12,12,12
International Broadcasting Operations                           ,Discretionary,Nondefense,Broadcasting Board of Governors                                 ,Broadcasting Board of Governors                                 ,778,795,823,852,875,898,921,944,968,993,"1,018"
United States Quota IMF Direct Loan Program Account             ,Discretionary,Nondefense,International Assistance Programs                               ,International Monetary Programs,69,69,69,69,69,69,69,69,69,69,69
Loans to the IMF Direct Loan Program Account                    ,Discretionary,Nondefense,International Assistance Programs                               ,International Monetary Programs,31,31,31,31,31,31,31,31,31,31,31
Special defense acquisition fund,Discretionary,Nondefense,International Assistance Programs                               ,Military Sales Program,-100,-75,-50,0,0,0,0,0,0,0,0
Foreign military sales trust fund,Mandatory,Other Spending,International Assistance Programs                               ,Military Sales Program,"33,001","33,011","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000"
Foreign Military Sales Trust Fund (Receipts),Mandatory,Other Spending,International Assistance Programs                               ,Military Sales Programs,"-34,000","-33,750","-33,500","-33,000","-33,000","-33,000","-33,000","-33,000","-33,000","-33,000","-33,000"
Exchange stabilization fund,Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,-507,-735,-844,-941,-985,-973,-970,-996,"-1,036","-1,073","-1,111"
Export-Import Bank loans program account,Discretionary,Nondefense,Export-Import Bank of the United States                         ,Export-Import Bank of the United States                         ,26,72,100,100,104,126,129,131,135,138,141
Inspector General                                               ,Discretionary,Nondefense,Export-Import Bank of the United States                         ,Export-Import Bank of the United States                         ,6,6,6,6,7,7,7,7,8,8,8
Export-Import Bank of the United States liquidating account,Mandatory,Other Spending,Export-Import Bank of the United States                         ,Export-Import Bank of the United States                         ,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Research and related activities,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,"5,787","5,979","6,148","6,252","6,334","6,513","6,644","6,782","6,921","7,063","7,209"
Education and human resources,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,828,860,894,918,940,959,979,993,"1,013","1,034","1,055"
Education and human resources,Mandatory,Other Spending,National Science Foundation                                     ,National Science Foundation,129,139,144,148,150,150,150,150,150,150,150
Agency operations and award management                          ,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,342,347,356,363,375,388,401,414,427,441,455
Office of Inspector General                                     ,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,15,15,16,17,17,18,19,19,20,21,21
Office of the National Science Board,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,4,4,4,4,5,5,5,5,5,5,6
Major research equipment and facilities construction,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,175,180,185,189,192,196,200,205,209,213,217
Donations,Mandatory,Other Spending,National Science Foundation                                     ,National Science Foundation,-5,5,0,0,0,0,0,0,0,0,0
Science,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,"5,838","6,581","7,105","7,145","7,182","7,257","7,411","7,567","7,682","7,846","8,009"
Office of Inspector General,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,38,41,42,44,45,47,49,50,52,54,56
LEO and Spaceflight Operations                                  ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,"4,800","4,828","4,935","5,043","5,155","5,273","5,391","5,510","5,629","5,755","5,882"
Science                                                         ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,"6,156","6,258","6,374","6,487","6,626","6,772","6,921","7,070","7,209","7,366","7,526"
"Safety, Security and Mission Services                           ",Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,"2,788","2,870","2,969","3,062","3,155","3,249","3,345","3,443","3,543","3,647","3,755"
Deep Space Exploration Systems                                  ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,"4,693","4,849","4,970","5,083","5,198","5,318","5,439","5,561","5,684","5,814","5,943"
Education,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,101,102,103,104,106,108,110,113,115,118,120
Construction and Environmental Compliance and Restoration       ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,543,578,592,598,603,611,618,631,644,657,671
Construction and Environmental Compliance and Restoration       ,Mandatory,Other Spending,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,0,1,1,1,1,1,0,0,0,0,0
Exploration Research and Technology                             ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,733,733,764,792,817,837,856,877,897,918,940
Working capital fund,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,-14,-10,0,0,0,0,0,0,0,0,0
Biomass Research and Development                                ,Mandatory,Other Spending,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,5,3,2,1,0,0,0,0,0,0,0
Rural electrification and telecommunications loans program accou,Discretionary,Nondefense,Department of Agriculture                                       ,Rural Utilities Service,-128,-129,-132,-135,-138,-139,-142,-145,-148,-152,-155
Rural electrification and telecommunications loans program accou,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Utilities Service,770,0,0,0,0,0,0,0,0,0,0
Rural electrification and telecommunications liquidating account,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Utilities Service,189,124,-47,-64,-75,-66,-57,-48,-38,-29,-20
National Oilheat Research Alliance,Mandatory,Other Spending,Federally Created Non-Federal Entities                          ,Federally Created Non-Federal Entities                          ,7,7,7,7,7,7,7,7,7,7,7
Payment to Issuer of New Clean Renewable Energy Bonds           ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,49,51,51,51,51,51,51,51,51,51,51
Title 17 innovative technology loan guarantee program,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,-25,8,5,5,20,37,38,39,40,42,43
Fossil energy research and development,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,593,623,648,678,736,768,786,804,823,842,861
Naval petroleum and oil shale reserves,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,11,13,13,12,12,11,11,11,12,12,12
"Operation and maintenance, Southeastern Power Administration",Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,1,2,2,2,2,2,2,2,2,0,0
"Operation and maintenance, Southwestern Power Administration",Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,38,55,56,57,58,61,62,63,64,67,64
Non-defense environmental cleanup                               ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,313,318,320,327,333,340,347,354,362,369,377
Electricity Delivery                                            ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,196,197,193,172,162,168,172,176,180,184,188
Nuclear Energy                                                  ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,"1,031","1,167","1,211","1,244","1,273","1,290","1,319","1,347","1,376","1,405","1,436"
Energy Efficiency and Renewable Energy                          ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,"1,551","1,850","2,100","2,366","2,511","2,606","2,642","2,689","2,727","2,786","2,846"
Advanced Research Projects Agency--Energy                       ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,279,299,321,341,367,381,388,397,405,414,422
Office of Indian Energy,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,4,9,14,17,19,21,21,22,23,24,25
Tribal Indian Energy Loan Guarantee Program                     ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,0,0,1,1,1,1,1,1,1,1,1
"Cybersecurity, Energy Security, and Emergency Response          ",Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,28,72,98,117,125,130,133,136,139,142,145
Bonneville Power Administration fund,Mandatory,Other Spending,Department of Energy                                            ,Power Marketing Administration,150,130,130,120,120,110,100,90,80,20,10
"Western Area Power Administration, Borrowing Authority, Recovery",Mandatory,Other Spending,Department of Energy                                            ,Power Marketing Administration,10,130,420,420,225,65,25,25,20,15,10
"Colorado river basins power marketing fund, Western Area Power A",Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,5,5,5,4,3,2,1,0,0,0,0
"Construction, rehabilitation, operation and maintenance, Western",Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,139,129,136,142,147,153,158,165,169,174,155
"Emergency fund, Western Area Power Administration",Mandatory,Other Spending,Department of Energy                                            ,Power Marketing Administration,1,1,1,1,1,1,1,1,1,1,1
Falcon and Amistad operating and maintenance fund,Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,1,1,1,1,1,1,1,1,1,1,1
Falcon and Amistad offsetting receipts,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Uranium enrichment decontamination and decommissioning fund,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,757,852,867,885,904,922,941,961,980,"1,001","1,021"
"Western Area Power Administration, payment to Corps of Engineers",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50
"Nuclear waste disposal fund, Energy",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,0,-385,-385,-385,-385,-385,-385,-385,-385,-385,-385
Southwestern Power,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
Proceeds from uranium sales,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-1,-1,-1,0,0,0,-3,-5,-7,-10,-12
Southeastern Power,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-170,-170,-171,-171,-171,-172,-172,-173,-173,-173,-174
"Bonneville Power Administration, payment to Corps of Engineers",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,0
"Bonneville Power Administration, payment to Bureau of Reclamation",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-20,-20,-20,-20,-20,-20,-20,-20,-20,0,0
Western Area Power Administration,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-351,-352,-352,-353,-354,-355,-356,-356,-357,-358,-359
Falcom Dam,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Salaries and Expenses                                           ,Discretionary,Nondefense,Nuclear Waste Technical Review Board                            ,Nuclear Waste Technical Review Board                            ,4,4,4,4,5,5,5,5,5,5,6
Tennessee Valley Authority Fund                                 ,Mandatory,Other Spending,Tennessee Valley Authority                                      ,Tennessee Valley Authority                                      ,"-1,000","-1,000","-1,000","-1,000","-1,000","-1,000",-900,-900,-800,-700,-600
United States Enrichment Corporation Fund                       ,Mandatory,Other Spending,United States Enrichment Corporation Fund                       ,United States Enrichment Corporation Fund                       ,-16,-16,-17,-17,-17,-18,-18,-18,-19,-19,-20
Payment to Issuer of Qualified Energy Conservation Bonds        ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,50,52,52,52,52,52,52,52,52,52,52
Energy Efficiency and Renewable Energy                          ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,250,100,50,50,0,0,0,0,0,0,0
Advanced Technology Vehicles Manufacturing Loan Program Account ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,30,40,40,40,15,16,16,16,16,16,16
Strategic petroleum reserve,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,221,239,257,257,253,258,264,270,276,282,288
SPR petroleum account,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,10,10,10,11,11,11,11,12,12,12,12
SPR petroleum account,Mandatory,Other Spending,Department of Energy                                            ,Energy Programs,7,2,2,2,2,2,2,1,1,1,0
Northeast home heating oil reserve,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,10,11,11,12,12,12,11,12,12,12,12
Energy Security and Infrastructure Modernization Fund           ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,-134,205,203,107,61,15,0,0,0,0,0
Sale of strategic petroleum reserve oil,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-690,-610,-600,"-1,750","-2,140","-2,200","-2,290","-2,610","-2,720",-360,0
Salaries and expenses,Discretionary,Nondefense,Nuclear Regulatory Commission                                   ,Nuclear Regulatory Commission                                   ,132,125,124,129,133,137,142,147,151,156,161
Office of Inspector General,Discretionary,Nondefense,Nuclear Regulatory Commission                                   ,Nuclear Regulatory Commission                                   ,3,4,3,4,3,4,3,4,4,4,5
Energy information administration,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,125,128,132,136,140,144,148,152,156,161,165
Departmental administration,Discretionary,Nondefense,Department of Energy                                            ,Departmental Administration,169,171,173,179,184,190,194,200,206,212,219
Office of the Inspector General,Discretionary,Nondefense,Department of Energy                                            ,Departmental Administration,50,53,55,57,60,62,64,66,69,71,74
"Excess receipts, Federal Energy Regulatory Commission",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
Electric Reliability Organization                               ,Mandatory,Other Spending,Electric Reliability Organization                               ,Electric Reliability Organization                               ,65,74,77,80,83,87,90,93,97,100,104
Watershed rehabilitation program,Discretionary,Nondefense,Department of Agriculture                                       ,Natural Resources Conservation Service,11,11,11,10,11,11,11,11,12,12,12
Watershed rehabilitation program,Mandatory,Other Spending,Department of Agriculture                                       ,Natural Resources Conservation Service,42,32,27,31,37,42,45,45,45,45,45
Watershed and flood prevention operations,Discretionary,Nondefense,Department of Agriculture                                       ,Natural Resources Conservation Service,200,285,294,279,218,190,166,170,173,177,181
Bureau of Reclamation loan liquidating account,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Water and related resources,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,"1,226","1,390","1,464","1,424","1,438","1,469","1,504","1,540","1,577","1,615","1,654"
Water and related resources,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,23,21,7,1,1,1,1,1,1,1,1
California Bay-Delta restoration,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,39,36,37,37,37,38,39,40,41,42,43
Central Utah Project completion account,Discretionary,Nondefense,Department of the Interior                                      ,Central Utah Project,13,14,15,15,15,15,16,16,16,17,17
Taos Settlement Fund                                            ,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,5,7,3,0,0,0,0,0,0,0,0
Lower Colorado River Basin development fund,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,3,6,6,18,22,51,40,7,0,0,0
Lower Colorado River Basin development fund,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,6,6,6,6,7,7,7,7,7,7,7
Lower Colorado River Basin development fund,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,-19,-30,12,2,2,2,2,2,2,2,2
Upper Colorado River Basin fund,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,89,94,97,98,101,97,100,101,104,105,108
Upper Colorado River Basin fund,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,22,5,-2,9,9,9,9,9,9,9,9
Policy and administration,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,60,63,65,67,69,71,73,76,78,80,83
Central Valley project restoration fund,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,-12,5,20,-1,6,21,0,6,23,-1,6
Utah reclamation mitigation and conservation account,Discretionary,Nondefense,Department of the Interior                                      ,Central Utah Project,1,1,1,1,1,1,1,1,1,1,1
Utah reclamation mitigation and conservation account,Mandatory,Other Spending,Department of the Interior                                      ,Central Utah Project,9,9,9,9,9,9,9,9,9,9,9
San Joaquin restoration fund                                    ,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,5,62,53,44,35,15,15,5,5,5,5
Reclamation Water Settlements Fund                              ,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,14,22,46,70,94,106,107,113,112,112,112
"Colorado River dam fund, Boulder Canyon project",Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,78,77,77,77,77,77,77,77,77,77,77
"Colorado River Dam, Boulder Canyon Project",Mandatory,Offsetting receipts,Other Defense Civil Programs                                    ,Other Defense Civil Programs,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90
Reclamation trust funds,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,3,3,3,3,3,3,3,3,3,3,3
Reclamation Fund and North Platte Project,Mandatory,Offsetting receipts,Department of the Interior                                      ,Bureau of Reclamation,-170,-174,-177,-181,-185,-190,-196,-200,-204,-207,-210
Reclamation Trust Fund,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-4
San Joaquin River restoration fund receipts,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,-10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
Reclamation Storage Acct,Mandatory,Offsetting receipts,Department of the Interior                                      ,Bureau of Reclamation,-5,-30,-100,-100,-50,-25,0,0,0,0,0
"Salaries and expenses, IBWC",Discretionary,Nondefense,Department of State                                             ,International Commissions,44,49,51,53,54,56,58,59,61,63,65
"Construction, IBWC",Discretionary,Nondefense,Department of State                                             ,International Commissions,30,30,30,30,31,31,32,32,33,34,35
"American sections, international commissions",Discretionary,Nondefense,Department of State                                             ,International Commissions,12,12,14,14,14,15,15,16,16,16,17
Water Infrastructure Finance And Innovation Program Account     ,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,52,64,64,65,66,68,71,72,74,75,76
Mississippi River and Tributaries                               ,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,499,540,539,513,448,412,414,424,434,444,455
Investigations                                                  ,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,136,162,159,151,146,147,152,157,162,168,174
Construction,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,"2,000","2,271","2,517","2,840","2,716","2,719","3,063","3,114","3,166","3,212","3,267"
Operation and maintenance,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,"2,305","2,471","2,489","2,532","2,571","2,642","2,658","2,731","2,805","2,882","2,962"
Expenses                                                        ,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,192,202,209,214,221,229,237,245,253,262,271
Flood control and coastal emergencies,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,737,365,171,51,37,38,39,40,40,41,42
Regulatory program,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,200,207,216,225,234,243,252,261,270,281,291
Washington aqueduct,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Office of the Assistant Secretary of the Army for Civil Works,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,5,6,5,5,5,6,6,6,6,6,6
Revolving fund,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,-2,0,0,0,0,0,0,0,0,0,0
Coastal wetlands restoration trust fund,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,71,79,76,75,75,75,75,75,75,75,75
Inland Waterways Trust Fund                                     ,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,116,118,121,123,126,128,131,134,136,139,142
Rivers and harbors contributed funds,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,416,434,460,391,424,424,424,424,424,424,424
Rivers and harbors contributed funds,Mandatory,Offsetting receipts,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470
Harbor maintenance trust fund,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,"1,549","1,579","1,612","1,644","1,680","1,715","1,751","1,786","1,821","1,860","1,898"
Permanent appropriations,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,12,13,12,12,12,12,12,12,12,12,12
Receipts from leases of lands acq. for flood control,Mandatory,Offsetting receipts,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,-12,-12,-12,-13,-13,-13,-13,-14,-14,-14,-15
"User fees, fund for non-federal use of disposal facilities",Mandatory,Offsetting receipts,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
Private Lands Conservation Operations                           ,Discretionary,Nondefense,Department of Agriculture                                       ,Natural Resources Conservation Service,813,843,874,901,929,957,986,"1,014","1,043","1,074","1,106"
Farm security and rural investment programs,Mandatory,Offsetting receipts,Department of Agriculture                                       ,Natural Resources Conservation Service,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
Farm security and rural investment programs,Mandatory,Other Spending,Department of Agriculture                                       ,Natural Resources Conservation Service,"3,437","3,750","3,676","3,633","3,762","3,958","4,069","4,107","4,104","4,030","3,872"
Capital improvement and maintenance,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,455,532,489,485,500,515,530,545,561,577,594
Forest and rangeland research,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,305,309,314,325,336,346,358,369,380,391,404
State and private forestry,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,318,372,381,373,376,386,395,405,415,425,436
National forest system,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,"1,889","1,966","2,161","2,152","2,163","2,232","2,304","2,375","2,449","2,526","2,606"
Wildland fire management,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,"3,377","3,190","3,050","3,145","3,239","3,337","3,436","3,535","3,638","3,746","3,856"
Management of national forest lands for subsistence uses,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,3,3,3,3,3,3,4,4,4,4,4
Grassroots source water protection program                      ,Discretionary,Nondefense,Department of Agriculture                                       ,Farm Service Agency,7,7,7,7,8,8,8,8,8,8,9
Reforestation Pilot Program                                     ,Discretionary,Nondefense,Department of Agriculture                                       ,Farm Service Agency,1,1,1,1,1,1,1,1,1,1,1
Water bank program,Discretionary,Nondefense,Department of Agriculture                                       ,Natural Resources Conservation Service,3,4,4,4,4,4,4,5,5,5,5
Commodity Credit Corporation fund,Mandatory,Other Spending,Department of Agriculture                                       ,Farm Service Agency,"1,916","1,935","1,941","2,003","2,138","2,295","2,331","2,343","2,316","2,299","2,277"
Working capital fund,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,-25,-20,0,0,0,0,0,0,0,0,0
Range betterment fund,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,3,3,2,2,2,2,2,2,2,2,2
Stewardship contracting product sales,Mandatory,Other Spending,Department of Agriculture                                       ,Forest Service,11,12,12,12,12,12,12,12,12,12,12
Forest Service permanent appropriations,Mandatory,Other Spending,Department of Agriculture                                       ,Forest Service,166,162,150,147,140,143,146,149,152,155,159
Land acquisition,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,55,62,64,65,67,69,70,72,73,75,77
Land acquisition,Mandatory,Other Spending,Department of Agriculture                                       ,Forest Service,10,10,11,11,11,11,11,11,12,12,12
Forest Service trust funds,Mandatory,Other Spending,Department of Agriculture                                       ,Forest Service,146,164,169,188,191,193,195,199,202,206,208
National Forests Fund and Timber Deposit Funds,Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,-230,-230,-230,-230,-230,-230,-230,-230,-230,-230,-230
Forest Service Cooperative Fund,Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,-150,-152,-155,-158,-162,-165,-168,-172,-175,-179,-183
Agriculture Miscellaneous Receipts,Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,-170,-172,-176,-179,-183,-187,-191,-194,-198,-203,-207
Environmental improvement and restoration fund,Mandatory,Other Spending,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,11,12,12,13,13,13,13,13,13,13,14
Management of lands and resources,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Land Management,"1,118","1,187","1,227","1,265","1,303","1,343","1,383","1,423","1,465","1,509","1,554"
Management of lands and resources,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,-5,0,0,0,0,0,0,0,0,0,0
Construction,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Land Management,1,1,1,1,1,0,0,0,0,0,0
Oregon and California grant lands,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Land Management,107,110,113,117,121,125,129,133,137,142,146
Oregon and California grant lands,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,0,-9,0,0,0,0,0,0,0,0,0
Wildland Fire Management                                        ,Discretionary,Nondefense,Department of the Interior                                      ,Department-Wide Programs                                        ,"1,117",936,998,"1,026","1,055","1,086","1,117","1,148","1,180","1,211","1,245"
Resource management,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,"1,300","1,343","1,372","1,407","1,439","1,485","1,530","1,578","1,626","1,676","1,728"
Construction,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,95,126,152,81,72,73,75,77,79,82,84
Natural Resource Damage Assessment Fund                         ,Discretionary,Nondefense,Department of the Interior                                      ,Department-Wide Programs                                        ,8,8,8,9,9,9,9,9,10,10,10
Natural Resource Damage Assessment Fund                         ,Mandatory,Other Spending,Department of the Interior                                      ,Department-Wide Programs                                        ,127,198,263,333,401,471,536,602,666,693,597
Multinational species conservation fund,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,11,11,11,12,12,12,12,13,13,13,13
Neotropical migratory bird conservation                         ,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,3,3,4,4,4,4,5,5,5,5,5
Offshore Safety and Environmental Enforcement,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Safety and Environmental Enforcement                  ,125,128,131,137,144,150,156,163,170,177,184
Regulation and technology,Discretionary,Nondefense,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,117,118,121,125,128,131,135,138,142,146,150
Ocean Energy Management                                         ,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Ocean Energy Management                               ,98,125,130,135,141,146,152,158,163,169,176
Operation of Indian programs,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,223,225,231,237,243,249,255,261,268,274,281
Abandoned Well Remediation Fund,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,1,1,1,1,0,0,0,0,0,0,0
Working capital fund,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Land Management,-15,-10,0,0,0,0,0,0,0,0,0
